S/N,Epigraph,"Author of  Epigraph (Last name, First name)",Source of  Epigraph,"Medium of Epigraph (Novel, Play, Song etc)",Country of  Source of Epigraph (if applicable),Epigraph ISBN (if any),Chapter/ Parts Epigraphs (Y/N),"Author (Last name, First Name)",Title of Book,Nationality,Year of  Original Publication,Genre,Year of  Epigraph (if applicable),ISBN,Remarks,Book's Edition (if applicable)
1805,"Dim vales?and shadowy floods?  And cloudy-looking woods,  Whose forms we can?t discover  For the tears that drip all over:  Huge moons there wax and wane?  Again?again?again?  Every moment of the night?  Forever changing places?  And they put out the star-light  With the breath from their pale faces.  About twelve by the moon-dial,  One more filmy than the rest  (A kind which, upon trial,  They have found to be the best)  Comes down?still down?and down  With its centre on the crown  Of a mountain?s eminence,  While its wide circumference  In easy drapery falls  Over hamlets, over halls,  Wherever they may be?  O?er the strange woods?o?er the sea?  Over spirits on the wing?  Over every drowsy thing?  And buries them up quite  In a labyrinth of light?  And then, how, deep! ?O, deep,  Is the passion of their sleep.  In the morning they arise,  And their moony covering  Is soaring in the skies,  With the tempests as they toss,  Like?almost any thing?  Or a yellow Albatross.  They use that moon no more  For the same end as before,  Videlicet, a tent?  Which I think extravagant:  Its atomies, however,  Into a shower dissever,  Of which those butterflies  Of Earth, who seek the skies,  And so come down again  (Never-contented things!)  Have brought a specimen  Upon their quivering wings","Poe, Edgar Allan",Fairy-Land,Poem,,,,"Lazear, Suzanne",Charmed Vengeance,US,2013,"Fiction, Young Adult Fiction",1829,9780738733029,,
1806,Losing love is like a window in your heart  Everybody sees you're blown apart Everybody sees the wind blow,"Simon, Paul",,,,,,"Leavitt, Lindsey",Going Vintage,US,2013,"Fiction, Young Adult Fiction",,9781599907871,,
1807,"Where there is a work of art, there is no madness.","Foucault, Michel",,,,,,"Leavitt, Martine",Calvin,US,2015,"Fiction, Young Adult Fiction",,9780374380731,,
1808,Children's book authors should be forced to read their stories aloud every single night of their rotten lives. ,"Watterson, Bill",Homicidal Pyscho Jungle Cat: A Calvin and Hobbes Collection,,,,,"Leavitt, Martine",Calvin,US,2015,"Fiction, Young Adult Fiction",,9780374380731,,
1809,"Lizzie Borden took an axe And gave her mother forty whacks.  When she saw what she had done,  She gave her father forty-one.",,,,,,,"Leaver, Trisha & Currie, Lindsay",Sweet Madness,US,2015,"Fiction, Young Adult Fiction",,9781440588945,,
1810,"If you want to go fast, go alone. If you want to go far, go together.",,African Proverb,Proverb,Africa,,,"Leaver, Trisha & Currie, Lindsay",Creed,US,2014,"Fiction, Young Adult Fiction",,9780738740805,,
1811,"Did I request thee, Maker, from my day  To mould me Man, did I solicit thee From darkness to promote me?","Milton, John","Paradise Lost, quoted in Frankenstein",,,,,"Lee, Mackenzi",This Monstrous Thing,US,2015,"Fiction, Young Adult Fiction",,9780062382771,,
1812,What a strange thing is man? and what a stranger Is woman!,Lord Byron,"Don Juan, canto 9",,,,,"Leitch, Martin & Graff, Lisa",Stranger Thing,US,2013,"Fiction, Young Adult Fiction",,9781442429635,,
1813,"Now for the moment things appear to be going very badly with me, and this has been so for a considerable time already, and may continue so in the future for a while; but after everything has seemed to go wrong, there will perhaps come a time when things will go right. I do not count on it, perhaps it will never happen, but if there should come a change for the better, I would consider it so much gain, I would be contented, I would say: at last! you see there was something after all! ","Roskill, Mark",The Letters of Vincent van Gogh,,,,,"Leno, Katrina",The Half Life of Molly Pierce,US,2014,"Fiction, Young Adult Fiction",,9780062231178,,
1814,"What, nephew, said the king, ""is the wind in that door?""","Malory, Sir Thomas",Le Morte d' Arthur,,,,,"L' Engle, Madeleine",A Wind in the Door,US,1973,"Fiction, Young Adult Fiction",,9780312368548,,
1815,"...in their early days they were like the unicorn, wild and uncommitted, which creature cannot be caught by the hunter, no matter how skillful. Nay, but he can be tamed only of his own free will.","St, Macrina",The Aprocryphal Writings of St. Macrina,,,,,"L' Engle, Madeleine",The Young Unicorns,US,1968,"Fiction, Young Adult Fiction",,9780312379339,,
1816,"Mountains are giant, restful, absorbent. You can heave your spirti into a mountain and the mountain will keep it, folded, and not throw it back as some creeks will. The creeks are the world with all its stimulus and beauty; I live there. But the mountains are home.","Dillard, Annie",Pilgrim at Tinker Creek,,,,,"Lenz, Kristin Bartley",The Art of Holding On and Letting Go,US,2016,"Fiction, Young Adult Fiction",,9780996864916,,
1817,"You see no purpose in travelling among the galaxies and taking their measure, you are content to watch life unfold on planets whose air you will never breathe. I cannot bear such sameness, each eon unfolding as the last. Let me journey, let me stray, let me see how no day on one world shall dawn the same as on another. I am brave enough to face wherever comes, assured that the worst danger is the one yet to come, on a day still several days away. You are content to stand still and remain unnamed. I am not made this way.",,"Versimilitudes 9, The Book of Unease",,,,,"Levy, Anne Boles",The Well of Prayers,US,2016,"Fiction, Young Adult Fiction",,9781634501934,,
1818,"The demons have drove me from the stars and would hunt me to the far reaches of the unreachable end of the universe. They take different forms and different names but always pursue the same purpose: to erase my name from existence. Yet I will be here to greet the end when it comes, the dying breath of Creation, the moment between order and chaos, the time when time stops. I will stand on the edge of infinity and say my name. My name is Nothing.",,"Versimilitudes 9, The Book of Unease",,,,,"Levy, Anne Boles",The Temple of Doubt,US,2015,"Fiction, Young Adult Fiction",,9781632204271,,
1819,"Food is our common ground, a universal experience.","Beard, James",,,,,,"Lewis, Stewart",The Secret Ingredient,US,2013,"Fiction, Young Adult Fiction",,9780385743310,,
1820,"If you see a fork in the road, take it.","Berra, Yogi",,,,,,"Lewis, Stewart",The Secret Ingredient,US,2013,"Fiction, Young Adult Fiction",,9780385743310,,
1821,"We need to decide that we will not go to war, whatever reason is conjured up by the politicians or the media, because war in our time is always indiscriminate, a war against innocents, a war against children.","Zinn, Howard",The Progressive,,,,,"Lewis, Amanda West",Sep-17,US,2013,"Fiction, Young Adult Fiction",2001,9780889955073,,
1822,"I dream of giving birth to a child who will ask, ""Mother, what was war?""","Merriam, Eve",,,,,,"Lewis, Amanda West",Sep-17,US,2013,"Fiction, Young Adult Fiction",2001,9780889955073,,
1823,"Det some gîms i snî, kommer fram vid tî. (What is frozen in snow is revealed at thaw.)",,Swedish proverb,Proverb,Sweden,,,"Lidh, Jessica",The Number 7,US,2015,"Fiction, Young Adult Fiction",,9781440583063,,
1824,"He died as he had lived, with unmentionable wickedness on his lips --  a sad spectacle of depravity, unwept and unregretted by all!","North, Thomas ",on Nicaragua Smith from Five Years in Texas,,,,,"Lindsey, Mary",Fragile Spirits,US,2014,"Fiction, Young Adult Fiction",1871,9780399161865,,
1825,"It was many and many a year ago,     In a kingdom by the sea,  That a maiden there lived whom you may know     By the name of Annabel Lee;  And this maiden she lived with no other thought     Than to love and be loved by me.   I was a child and she was a child,     In this kingdom by the sea,  But we loved with a love that was more than love?     I and my Annabel Lee?  With a love that the wingäd seraphs of Heaven     Coveted her and me.   And this was the reason that, long ago,     In this kingdom by the sea,  A wind blew out of a cloud, chilling     My beautiful Annabel Lee;  So that her highborn kinsmen came     And bore her away from me,  To shut her up in a sepulchre     In this kingdom by the sea.   The angels, not half so happy in Heaven,     Went envying her and me?  Yes!?that was the reason (as all men know,     In this kingdom by the sea)  That the wind came out of the cloud by night,     Chilling and killing my Annabel Lee.   But our love it was stronger by far than the love     Of those who were older than we?     Of many far wiser than we?  And neither the angels in Heaven above     Nor the demons down under the sea  Can ever dissever my soul from the soul     Of the beautiful Annabel Lee;   For the moon never beams, without bringing me dreams     Of the beautiful Annabel Lee;  And the stars never rise, but I feel the bright eyes     Of the beautiful Annabel Lee;  And so, all the night-tide, I lie down by the side     Of my darling?my darling?my life and my bride,     In her sepulchre there by the sea?     In her tomb by the sounding sea","Poe, Edgar Allan",Annabel Lee,Poem,,,Y,"Lindsey, Mary",Ashes on the Water,US,2013,"Fiction, Young Adult Fiction",,9780399159398,,
1826,"The death, then, of a beautiful woman is, unquestionably, the most poetical topic in the world -- and equally is it beyond doubt that the tips best suited for such topic are those of a bereaved lover.","Poe, Edgar Allan",The Philosophy of Composition,,,,Y,"Lindsey, Mary",Ashes on the Water,US,2013,"Fiction, Young Adult Fiction",1846,9780399159398,,
1827,"For they would inherit a world so devasted by explosions and poison and fire that today we cannot even conceive of its horrors. So let us try to turn the world away from war. Let us make the most of this opportunity, and every opportunity, to reduce tension, to slow down the perilous nuclear arms race, and to check the world's slide toward final annihilation.","Kennedy, President John F.",address to American People on Nuclear Test Ban Treaty,Speech,,,Y,"Llyod-Jones, Emily",Illusive,US,2014,"Fiction, Young Adult Fiction",1963,9780316254571,Epigraphs begin on section,
1828,The Cold War isn't thawing; it is burning with a deadly heat.,"Nixon, President Richard M.",,,,,,"Llyod-Jones, Emily",Deceptive,US,2015,"Fiction, Young Adult Fiction",1964,9780316254649,Epigraphs begin on section,
1829,"Out of the night that covers me,        Black as the pit from pole to pole,  I thank whatever gods may be        For my unconquerable soul.   In the fell clutch of circumstance        I have not winced nor cried aloud.  Under the bludgeonings of chance        My head is bloody, but unbowed.   Beyond this place of wrath and tears        Looms but the Horror of the shade,  And yet the menace of the years        Finds and shall find me unafraid.   It matters not how strait the gate,        How charged with punishments the scroll,  I am the master of my fate,        I am the captain of my soul","Henley, William Ernest",Invictus,Poem,,,,"Lomax, David",Backward Glass,US,2013,"Fiction, Young Adult Fiction",,9780738737515,,
1830,"There is a land of the living and a land of the dead and the bridge is love, the only survival, the only meaning.","Wilder, Thornton",The Bridge of San Luis Rey,,,,,"Longo, Jennifer",Six Feet Over It,US,2014,"Fiction, Young Adult Fiction",,9780449818718,,
1831,Changing is what people do when they have no options left.,"Black, Holly",Red Glove,,,,Y,"Maberry, Jonathan",Fire & Ash,US,2013,"Fiction, Young Adult Fiction",,9781442439924,Epigraphs begin on sections,
1832,A memory is what is left when something happens and does not completely unhappen.,Edward de Bono,,,,,Y,"McArthur, Shallee",The Unhappening of Genesis Lee,US,2014,"Fiction, Young Adult Fiction",,9781629146478,,
1833,Secrets are generally terrible. Beauty is not hidden -- only ugliness and deformity.,"Montgomery, L.M.",,,,,,"McBride, Susan",Very Bad Things,US,2014,"Fiction, Young Adult Fiction",,9780385737975,,
1834,wipe your eyes and be glad you're still among the living,"Arnold, Craig",Hymn to Persephone,,,,,"McCarry, Sarah",Dirty Wings,US,2014,"Fiction, Young Adult Fiction",,9781250049384,,
1835,La musique savante manque a notre desir.,Rimbaud,,,,,,"McCarry, Sarah",Dirty Wings,US,2014,"Fiction, Young Adult Fiction",,9781250049384,,
1836,"You may find in that far-off land to which you go, sorrows which may often fill your Chalice to the brim. Yet I say to you, Go! my dear daughters, go with great courage where God calls you! ",St Mary Euphrasia Pelletier,,,,,,"McCarthy, Maureen",The Convent,US,2012,"Fiction, Young Adult Fiction",,9781743318348,,
1837,I will love the light  For it shows me the way.  Yet I will endure the darkness For it shows me the stars,Og Mandino,,,,,,"McClellan, Rachel",Fractured Soul,US,2013,"Fiction, Young Adult Fiction",,9781462111800,,
1838,"Where is the eye that can see You?  The Beloved is there, but the eyes are blind.  We are lost in our own veil,  While everywhere Your vision prevails.   So long as Atta is lost in Your sorrow  The people of the heart will always yearn for him! ",Farid Al-Din Attar,,,,,,"Lough, Amber",The Blind Wish,US,2015,"Fiction, Young Adult Fiction",,9780385369800,,
1839,"Why do you think I call you ""Ghostie""?  Mostly because you're impossible to see.",,Punchline,,,,,"Love, Jessica",In Real Life,US,2016,"Fiction, Young Adult Fiction",,9781250064714,,
1840,Perseverance becomes its own kind of strength,,Japanese saying,Saying,Japan,,,"Lowitz, Leza ",Up from the Sea,US,2016,"Fiction, Young Adult Fiction",,9780553534740,,
1841,We are such stuff  As dreams are made on;  and our little life Is rounded with a sleep. ,"Shakespeare, William",The Tempest,Play,UK,,,"Lowry, Lois",Grosamer,US,2006,"Fiction, Young Adult Fiction",,9780385734165,,
1842,We're catching bullets with our heads and hearts and all the darkest parts of us...,Tunng,Bullets,,,,,"Lowe, Joaquin",Bullet Catcher,US,2016,"Fiction, Young Adult Fiction",,9781471405068,,
